num_rooms,m2,price,zip_code,canton_code,street,city
2.0,54,1280,4800,AG,Bärengasse,Zofingen
4.5,119,1860,2542,BE,Romontweg,Pieterlen
4.0,90,1500,2553,BE,Birkenweg,Safnern
4.5,80,1250,8580,TG,Schmidgasse,Amriswil
2.0,60,1370,3006,BE,Egelbergstrasse,Bern
4.5,105,1800,6074,OW,Altibach,Giswil
4.5,180,1690,2540,SO,Kirchstrasse,Grenchen
1.0,30,630,3372,BE,Jurastrasse,Wanzwil
4.0,96,1760,3123,BE,Viehweidstrasse,Belp
3.0,68,1250,3600,BE,"Silberhornstrasse,",Thun
4.0,84,1690,1920,VS,Rue de la Poste,Martigny
2.5,62,1200,6043,LU,Moosmatte,Adligenswil
4.5,112,2230,8590,TG,Sonnenring,Romanshorn
3.5,95,1880,4552,SO,Emmenhofalle ,Derendingen
2.5,76,1465,4552,SO,Emmenhofalle ,Derendingen
2.5,76,1455,4552,SO,Emmenhofalle ,Derendingen
4.5,122,2160,4552,SO,Emmenhofalle ,Derendingen
4.5,122,2180,4552,SO,Emmenhofalle ,Derendingen
1.5,67,1580,2502,BE,Bözingenstrasse,Biel/Bienne
2.5,75,1590,9442,SG,Bahnstrasse ,Berneck
3.5,78,1595,9554,TG,Bachstrasse,Tägerschen
3.5,88,2990,3014,BE,Wylerstrasse,Bern
3.5,95,1755,3800,BE,Baumgarten,Unterseen
4.5,79,1345,8370,TG,Haldenstrasse,Sirnach
3.0,61,1120,9552,SG,Hauptstrasse,Bronschhofen
4.5,133,2990,4244,BL,Schindelhofstrasse,Röschenz
4.0,67,1570,9010,SG,Guisanstr.,St. Gallen
3.5,81,2020,8212,SH,Industrieplatz,Neuhausen am Rheinfall
2.5,44,1200,8212,SH,Industrieplatz,Neuhausen am Rheinfall
3.5,91,1830,8233,SH,Im Tal,Bargen SH
1.0,43,1005,1950,VS,Rue de Loèche,Sion
1.0,24,890,3012,BE,Hallerstrasse,Bern
3.5,70,1220,2543,BE,Kändlenstrasse,Lengnau BE
4.5,84,2880,8048,ZH,Rautistrasse,Zürich
4.5,105,2990,8048,ZH,Rautistrasse,Zürich
4.5,100,1750,2552,BE,Hauptstrasse,Orpund
4.0,94,1930,6992,TI,Ai Guasti,Vernate
3.5,70,1150,9230,SG,Badstrasse,Flawil
4.5,106,1720,4704,BE,Oberer Sängelenweg,Niederbipp
5.5,196,2580,4436,BL,Eimattstrasse,Oberdorf BL
