num_rooms,m2,price,zip_code,canton_code,street,city
1.5,50,1475,8957,AG,Sandäckerstrasse,Spreitenbach
3.0,58,1656,8302,ZH,Lindenstrasse,Kloten
3.5,71,1670,8172,ZH,Bahnhofstrasse,Niederglatt ZH
2.0,53,1391,8134,ZH,Isengrundstrasse,Adliswil
3.5,88,1670,5430,AG,Bahnhofstrasse,Wettingen
2.5,48,1240,9000,SG,Brühlgasse,St. Gallen
4.0,87,2555,1212,GE,Chemin des Palettes,Grand-Lancy
3.0,80,4810,1204,GE,Rue du Rhône,Genève
1.0,21,1315,1020,VD,Avenue du Temple,Renens VD
4.5,114,2650,1018,VD,Avenue Parc-de-la-Rouvraie,Lausanne
2.5,66,1615,6900,TI,Via Massagno,Lugano
3.0,58,1480,4102,BL,Hauptstrasse,Binningen
4.5,103,1780,2504,BE,Narzissenweg,Biel/Bienne
4.5,98,1810,3612,BE,Austrasse,Steffisburg
1.0,37,990,3600,BE,Bälliz,Thun
2.5,55,1480,6030,LU,Kaspar-Koppstrasse,Ebikon
3.5,65,1290,8637,ZH,Sportstrasse,Laupen ZH
2.5,55,990,3182,FR,Kapellacker,Ueberstorf
4.5,130,1850,3476,BE,Spych,Oschwand
4.0,140,2400,4333,AG,Schupfarterstrasse,Münchwilen AG
3.5,110,2630,8152,ZH,Famanstrasse,Glattpark (Opfikon)
2.0,46,1030,3185,FR,Berg,Schmitten FR
2.5,48,940,3088,BE,Tromwil,Rüeggisberg
3.0,56,1150,6600,TI,via in Selva,Solduno
5.0,143,2400,4104,BL,Stallenrain,Oberwil BL
3.5,72,1465,1920,VS,Rue des Ilettes,Martigny
3.5,75,1320,1762,FR,"Rte de la Chassotte,",Givisiez
2.5,44,850,3860,BE,Lengenacherstrasse,Meiringen
3.5,72,1702,1426,VD,En Chenaux,Concise
3.0,84,1465,5063,AG,Mühligass,Wölflinswil
1.5,59,990,3145,BE,Schwarzenburgstrasse,Niederscherli
4.5,97,1675,3322,BE,Feldeggstrasse,Urtenen-Schönbühl
3.5,71,1450,3322,BE,Feldeggstrasse,Urtenen-Schönbühl
3.5,83,1595,5415,AG,Kirchweg,Nussbaumen AG
2.0,79,1160,3053,BE,Gurtenfeldstrasse,Münchenbuchsee
4.5,100,1695,5735,LU,Kanzleiweg,Pfeffikon LU
3.5,80,2290,1820,VD,Rue Bonivard,Veytaux
2.0,53,1343,8712,ZH,Bahnhofwiese,Stäfa
2.5,60,1590,6963,TI,Via San Gottardo di Cureggia,Pregassona
3.5,84,1550,9008,SG,Heimatstrasse,St. Gallen
3.5,84,1500,9008,SG,Heimatstrasse,St. Gallen
2.5,69,1770,2502,BE,Höheweg,Biel/Bienne
5.5,168,3160,2502,BE,Höheweg,Biel/Bienne
4.5,98,1750,3432,BE,Dorfstrasse,Lützelflüh-Goldbach
3.5,104,2350,4314,AG,Am Bach,Zeiningen
1.0,33,890,3012,BE,Neufeldstrasse,Bern
4.5,156,2350,4950,BE,Pappelweg,Huttwil
2.5,58,1500,2087,NE,Rue du Vignoble,Cornaux NE
2.5,80,1820,6403,SZ,Haltikerstrasse,Küssnacht am Rigi
3.5,93,1850,8500,TG,St. Gallerstrasse,Frauenfeld
2.5,61,2200,1196,VD,Avenue du Mont-Blanc,Gland
6.5,220,3680,3084,BE,Mattenweg,Wabern
4.5,141,2750,2502,BE,Alpenstrasse,Biel/Bienne
3.5,104,2475,4054,BS,Sennheimerstrasse,Basel
2.5,44,980,1920,VS,Avenue du Grand-St-Bernard,Martigny
3.5,80,1360,9113,SG,Bachstrasse,Degersheim
4.5,178,2430,4538,BE,Niedermattstrasse,Oberbipp
4.5,105,1750,4710,SO,Lindhubelweg,Balsthal
2.5,71,2550,8005,ZH,Förrlibuckstrasse,Zürich
3.0,80,1050,2540,SO,Solothurnstrasse,Grenchen
3.5,72,1060,2540,SO,Solothurnstrasse,Grenchen
4.5,86,1470,3427,BE,Unterdorfstrasse,Utzenstorf
3.5,80,1300,9500,SG,Titlisstrasse,Wil SG
3.5,60,1500,1700,FR,Rue Louis-Chollet,Fribourg
3.5,82,1620,1700,FR,Avenue du midi,Fribourg
2.5,88,3980,8004,ZH,Europaallee ,Zürich
1.5,32,630,3400,BE,Rütschelengasse,Burgdorf
3.0,65,1370,2502,BE,Freiestrasse,Biel/Bienne
3.5,85,2600,1024,VD,Chemin de la Chiésaz,Ecublens VD
5.5,131,2350,8180,ZH,Kantonsschulstr.,Bülach
2.5,53,1170,6517,TI,Via Molinazzo,Arbedo
3.5,80,1810,8805,ZH,Sennhüttenstrasse,Richterswil
2.5,53,1240,6500,TI,Via Pratocarasso,Bellinzona
3.5,78,1800,8805,ZH,Sennhüttenstrasse,Richterswil
4.5,90,2100,8805,ZH,Sennhüttenstrasse,Richterswil
2.5,67,1520,4058,BS,Erlenmattstr.,Basel
4.5,100,2710,4058,BS,Erlenmattstr.,Basel
4.0,156,2216,6517,TI,Via del Carmagnola,Arbedo
2.5,59,1640,5507,AG,Birnenweg,Mellingen
1.0,13,295,4125,BS,Gotenstr.,Riehen
3.5,94,2685,4133,BL,Hohenrainstr.,Pratteln
2.5,65,1480,8200,SH,Hauentalstrasse,Schaffhausen
2.0,31,1290,4058,BS,Schwarzwaldallee,Basel
3.5,66,1760,4058,BS,Schwarzwaldallee,Basel
3.5,90,2030,4058,BS,Schwarzwaldallee,Basel
2.5,48,1490,4058,BS,Schwarzwaldallee,Basel
2.5,53,1520,4056,BS,Maiengasse,Basel
2.0,51,950,4528,SO,Fliederweg,Zuchwil
3.5,84,2050,3011,BE,"Gutenbergstrasse,",Bern
1.0,30,1420,8810,ZH,Seestrasse,Horgen
4.5,140,1660,4704,BE,Schimmelweg,Niederbipp
3.0,70,1300,4562,SO,Moosstrasse,Biberist
2.5,70,1190,1740,FR,champ-didon,Neyruz FR
3.5,87,1780,1756,FR,Route de l'Ecole,Onnens FR
3.5,100,1350,4628,SO,Letzirain,Wolfwil
3.5,80,1470,2564,BE,Jensgasse,Bellmund
3.5,104,1950,8155,ZH,Rüchligstrasse,Nassenwil
4.5,80,1390,3400,BE,Kirchbergstrasse,Burgdorf
3.5,86,2115,4052,BS,Birsstrasse,Basel
5.5,145,1900,2400,NE,Rue Auguste-Lambelet,Le Locle
4.5,120,1600,5734,AG,Hauptstrasse,Reinach AG
4.5,85,1790,2564,BE,Jensgasse,Bellmund
2.5,60,1590,1822,VD,Route de Fontanivent,Chernex
2.0,48,1250,1700,FR,Rue de Morat,Fribourg
